Id,Sales
1,4537.43881358
857,4662.70629058
1713,5156.42672689
2569,5795.71859535
3425,5871.94704465
4281,4125.41933859
5137,3955.37450754
5993,3704.23367268
6849,3772.6176148
7705,3771.17262893
8561,3996.36669302
9417,5570.62360972
10273,4514.66303625
11129,4834.55856135
11985,5048.70499201
12841,5463.84824131
13697,4960.28107835
14553,7047.96324422
15409,6443.31800431
16265,4253.70030626
17121,4158.74464935
17977,3651.90503544
18833,3823.37003491
19689,3547.38041888
20545,4127.94672039
21401,5416.06479328
22257,3934.5852566
23113,4519.7373676
23969,4420.76961062
24825,4412.11220718
25681,4825.76505849
26537,5883.4265598
27393,5677.19169256
28249,4136.27471618
29105,3996.22104273
29961,3675.30937649
30817,3675.90519904
31673,3699.5765196
32529,4147.18327494
33385,5713.73320721
34241,4103.08870785
35097,4739.98774314
35953,4881.37961774
36809,4871.82319525
37665,5191.48432074
38521,6012.89201537
39377,6190.09570519
40233,4554.97955
2,7435.40824899
858,7739.57674143
1714,8356.15138433
2570,10335.8472121
3426,3191.45488494
4282,3761.94614718
5138,6002.62606359
5994,5775.40720361
6850,5746.91418821
7706,5860.12981676
8562,6132.00062436
9418,3029.61979644
10274,3786.64365324
11130,7665.23113176
11986,8094.42256096
12842,8902.34596453
13698,8744.49922775
14554,13425.2926595
15410,3631.53126378
16266,3969.24520133
17122,6648.5997235
17978,5937.25425056
18834,5909.79631241
19690,5640.64495751
20546,6259.10058653
21402,3385.2335915
22258,3567.60101509
23114,7232.40780298
23970,7549.65738771
24826,7588.45334261
25682,8125.84854195
26538,10743.9228973
27394,3609.75335443
28250,3854.55765393
29106,6178.29717366
29962,5873.10279899
30818,5774.82633157
31674,5857.89762152
32530,6193.22438642
33386,3664.43929678
34242,3854.45309584
35098,7278.16777162
35954,7701.33086063
36810,8025.2370872
37666,8485.0794386
38522,10441.7331401
39378,4181.5888872
40234,4479.26468472
3,9352.55602859
859,9601.52166788
1715,10610.0391414
2571,13401.5768387
3427,3938.54403708
4283,5812.43424757
5139,8230.86110797
5995,8081.5578007
6851,8017.30590715
7707,8096.39759279
8563,8697.10230953
9419,3874.20253721
10275,5845.15067466
11131,9668.65104833
11987,9820.54155069
12843,10650.866406
13699,10931.1014466
14555,16715.4036646
15411,4196.90635182
16267,6115.06687721
17123,9117.53956767
17979,8295.31830676
18835,8318.17480815
19691,7886.91223396
20547,8608.55075214
21403,4166.64963328
22259,5596.23798772
23115,9528.06101145
23971,9569.27151774
24827,9626.59767595
25683,10492.6104294
26539,14461.661918
27395,4452.031105
28251,6101.87469627
29107,8794.48221078
29963,8324.72046851
30819,8178.17416874
31675,8245.15570729
32531,9696.11737576
33387,4490.44432663
34243,6140.05553141
35099,9858.21128515
35955,9950.52143187
36811,10058.6630922
37667,10700.9728754
38523,14424.4607462
39379,4753.26392895
40235,6573.68210552
4,6146.68237304
860,6299.54305187
1716,7081.534749
2572,8685.0536589
3428,2935.08273324
4284,3019.92549036
5140,4876.57083286
5996,4914.6405053
6852,4912.19754154
7708,4961.75238093
8564,5228.50963611
9420,2782.62549087
10276,3027.21886841
11132,6002.60006816
11988,6399.24019068
12844,6991.29381972
13700,7362.42256723
14556,10445.4445896
15412,3085.41166988
16268,3155.71609718
17124,5158.14721501
17980,4932.67076397
18836,4982.3891229
19692,4731.00183576
20548,5240.15835342
21404,2920.43568562
22260,2906.94816193
23116,5716.02675585
23972,6197.57233266
24828,6126.43897373
25684,6841.99483877
